Wine Name,Year,Winery,Rating,num_review,Price,Region,Country,Flavour group 1,Flavour group 2,Flavour group 3,Grapes 1,Grapes 2,Acidity,Sweetness,Intensity,Type
Furth-Palt Riesling ,2023.0,Malat,3.4,359,54.405,Kremstal,Austria,citrus_fruit,earth,tree_fruit,riesling,0,5.0,1.0,3.5,white wine
Classic St. Laurent ,2021.0,Hans Igler,3.7,457,42.21,Mittelburgenland,Austria,red_fruit,black_fruit,spices,st-laurent,0,4.5,2.0,3.0,red wine
Weissburgunder ,2023.0,Oskar Hager,3.7,32,36.94500000000001,Kamptal,Austria,tree_fruit,citrus_fruit,earth,pinot-blanc,0,4.0,1.0,3.0,white wine
Cabernet Sauvignon ,2021.0,Weingut Familie Auer,3.9,144,47.88,Thermenregion,Austria,non_oak,oak,dried_fruit,cabernet-sauvignon,0,3.0,1.5,4.0,red wine
Riesling Alte Reben ,2022.0,Ebner-Ebenauer,4.1,388,124.83,Weinviertel,Austria,earth,tree_fruit,citrus_fruit,riesling,0,5.0,1.0,3.5,white wine
Röttgen Riesling ,2021.0,Reinhard Knebel,4.0,257,225.225,Mosel,Germany,tree_fruit,earth,tropical_fruit,riesling,0,5.0,1.0,3.0,white wine
Filigrana Tinto ,2021.0,Pla de Morei,3.7,96,60.435,Catalunya,Spain,earth,black_fruit,red_fruit,grenache-noir,tempranillo,3.0,1.0,4.0,red wine
Souveräner Malteser Ritterorden Blauer Zweigelt ,2019.0,Lenz Moser,3.8,228,74.115,Niederösterreich,Austria,red_fruit,microbio,black_fruit,zweigelt,0,4.0,1.0,3.0,red wine
Grüner Veltliner Federspiel Rossatz ,2023.0,Josef Fischer,3.8,522,69.075,Wachau,Austria,tree_fruit,citrus_fruit,earth,gruner-veltliner,0,4.0,1.0,2.0,white wine
Ried Schütt Grüner Veltliner Smaragd ,2017.0,Tegernseerhof,4.1,39,221.895,Wachau,Austria,tree_fruit,citrus_fruit,earth,gruner-veltliner,0,4.0,1.0,2.0,white wine
Bisamberg Blauer Zweigelt ,2021.0,Christ,3.6,118,26.82,Wiener Gemischter Satz,Austria,black_fruit,oak,red_fruit,zweigelt,0,4.0,1.0,3.0,red wine
Ried Szapary Eisenberg Reserve Blaufränkisch ,2021.0,Kopfensteiner,4.1,34,130.85999999999999,Südburgenland,Austria,black_fruit,red_fruit,oak,blaufrankisch,0,4.5,1.0,3.5,red wine
Weissburgunder ,2022.0,Dolle,3.6,127,50.85,Kamptal,Austria,tree_fruit,citrus_fruit,earth,pinot-blanc,0,4.0,1.0,3.0,white wine
Bandol Rouge ,2016.0,Domaine de la Bégude,3.9,157,182.79,Bandol,France,red_fruit,oak,black_fruit,shiraz-syrah,cabernet-sauvignon,3.0,1.5,4.0,red wine
Mazis-Chambertin Grand Cru ,2015.0,Domaine Tortochot,4.4,498,652.5,Mazis-Chambertin Grand Cru,France,earth,red_fruit,oak,pinot-noir,0,4.5,1.0,3.0,red wine
Chambertin Grand Cru ,2010.0,Vincent Girardin,4.3,67,1485.0,Chambertin Grand Cru,France,earth,0,0,pinot-noir,0,4.5,1.0,3.0,red wine
Clos de Vougeot Grand Cru ,2015.0,Gérard Raphet,4.3,973,661.5,Clos Vougeot Grand Cru,France,red_fruit,earth,oak,pinot-noir,0,4.5,1.0,3.0,red wine
Morey-St-Denis ,2015.0,Domaine Tortochot,4.0,77,189.0,Morey-Saint-Denis,France,red_fruit,earth,oak,pinot-noir,0,4.5,1.0,3.0,red wine
A Chêne Beaujolais-Villages ,2022.0,Domaine Chavrier,3.8,57,41.85,Beaujolais-Villages,France,red_fruit,oak,spices,gamay,0,5.0,1.0,1.0,red wine
Grevillière Trousseau ,2019.0,Domaine Daniel Dugois,3.7,539,180.0,Arbois,France,red_fruit,earth,oak,pinot-noir,trousseau,4.5,1.5,3.0,red wine
Elise ,2022.0,Moulin de Gassac,3.9,83,43.65,Hérault,France,black_fruit,oak,red_fruit,shiraz-syrah,grenache-noir,4.0,1.0,4.0,red wine
Paradilys Madiran ,2016.0,Cru Du Paradis,3.1,37,40.5,Madiran,France,black_fruit,dried_fruit,red_fruit,cabernet-sauvignon,cabernet-franc,4.5,1.5,5.0,red wine
Graves Rouge ,2022.0,La Quille,3.7,609,57.15,Graves,France,earth,black_fruit,oak,cabernet-sauvignon,cabernet-franc,4.5,1.0,4.5,red wine
Sauternes (Grand Cru Classé) ,2005.0,Château Lamothe Guignard,4.2,102,126.0,Sauternes,France,earth,tree_fruit,non_oak,sauvignon-blanc,semillion,4.5,5.0,5.0,dessert wine
Fixin ,2017.0,Henri de Villamont,4.0,130,125.10000000000001,Fixin,France,red_fruit,oak,earth,pinot-noir,0,4.5,1.0,3.0,red wine
Vieille Mule Rosé ,2023.0,Jeff Carrel,3.8,137,35.550000000000004,Côtes Catalanes,France,red_fruit,tree_fruit,citrus_fruit,shiraz-syrah,grenache-noir,3.5,1.0,3.0,rose
Sauternes (Grand Cru Classé) ,1986.0,Château Lamothe Guignard,4.1,2674,337.5,Sauternes,France,earth,tree_fruit,non_oak,sauvignon-blanc,semillion,4.5,5.0,5.0,dessert wine
Cuvée Majesté ,2014.0,Château de Cayx,4.1,122,117.0,Cahors,France,black_fruit,oak,spices,malbec,0,3.0,1.0,4.0,red wine
Zweigelt Alte Reben ,2023.0,Paul Achs,3.6,400,82.395,Burgenland,Austria,red_fruit,black_fruit,oak,zweigelt,0,4.0,1.0,3.0,red wine
Hinterholz Chardonnay ,2022.0,Gruber Röschitz,3.7,64,58.725,Niederösterreich,Austria,non_oak,oak,tree_fruit,chardonnay,0,3.5,1.0,3.0,white wine
Rinato Langhe Chardonnay ,2022.0,Viberti Giovanni,4.3,28,147.69,Langhe,Italy,oak,tree_fruit,microbio,arneis,pinot-blanc,3.0,2.0,4.0,white wine
Lady’s Lane Vineyard Shiraz ,2021.0,Domaine Tournon,3.8,1091,133.875,Heathcote,Australia,black_fruit,earth,oak,shiraz-syrah,0,4.0,1.0,4.0,red wine
Grüner Veltliner ,2023.0,New Chapter,4.0,596,132.29999999999998,Traisental,Austria,tree_fruit,citrus_fruit,earth,gruner-veltliner,0,4.0,1.0,2.0,white wine
I Bastioni Chianti Classico ,2022.0,Collazzi,3.9,3000,99.81,Chianti Classico,Italy,red_fruit,oak,earth,sangiovese,0,4.5,1.0,3.5,red wine
Ried Pichl Riesling Federspiel ,2023.0,Josef Jamek,3.9,168,107.19,Wachau,Austria,tree_fruit,earth,citrus_fruit,riesling,0,5.0,1.0,3.5,white wine
Blauer Zweigelt ,2020.0,Frauwallner,3.6,43,52.69500000000001,Südoststeiermark,Austria,red_fruit,black_fruit,0,zweigelt,0,4.0,1.0,3.0,red wine
Gigama Grande Reserve ,2021.0,Leth,4.1,414,138.01500000000001,Wagram,Austria,oak,earth,black_fruit,zweigelt,0,4.0,1.0,3.0,red wine
Les Graviéres du Roy Saumur-Champigny ,2022.0,Sauvion,3.7,26,54.225,Saumur-Champigny,France,red_fruit,spices,oak,cabernet-franc,0,4.0,1.5,3.5,red wine
Barbaresco ,2013.0,Gian Piero Marrone,3.9,76,127.8,Barbaresco,Italy,oak,red_fruit,earth,nebbiolo,0,5.0,1.0,4.0,red wine
Valpolicella Classico ,2011.0,Allegrini,3.6,156,37.125,Valpolicella,Italy,red_fruit,black_fruit,spices,corvina,rondinella,3.5,1.5,3.0,red wine
Big Easy Chenin Blanc ,2019.0,Ernie Els,3.6,64,40.410000000000004,Western Cape,South Africa,tree_fruit,tropical_fruit,citrus_fruit,chenin-blanc,0,4.5,1.0,2.5,white wine
De Piano ,2013.0,St. Michael-Eppan,3.8,89,59.85,Südtirol - Alto Adige,Italy,oak,black_fruit,red_fruit,nebbiolo,barbera,2.0,1.5,4.0,red wine
Campo Ai Sassi Rosso di Montalcino ,2011.0,Tenuta CastelGiocondo,3.5,498,56.25,Rosso di Montalcino,Italy,red_fruit,oak,earth,cabernet-sauvignon,merlot,3.0,1.0,3.0,red wine
Holzspur Pinot Noir ,2021.0,Johanneshof Reinisch,4.2,830,170.1,Thermenregion,Austria,oak,earth,red_fruit,pinot-noir,0,4.5,1.0,2.0,red wine
Saint-Émilion Grand Cru (Grand Cru Classé) ,2009.0,Clos de l'Oratoire,4.2,321,378.0,Saint-Émilion Grand Cru,France,oak,black_fruit,earth,cabernet-sauvignon,cabernet-franc,3.5,1.0,4.5,red wine
Hochrain Chardonnay Reserve ,2021.0,Malat,4.2,157,179.775,Niederösterreich,Austria,oak,microbio,citrus_fruit,chardonnay,0,3.5,1.0,3.0,white wine
Pinot Noir Gertberg ,2016.0,Feiler-Artinger,3.8,121,156.15,Burgenland,Austria,red_fruit,earth,oak,pinot-noir,0,4.5,1.0,2.0,red wine
Larán Larán 12 Meses ,2021.0,Vizcarra,4.0,232,90.675,Ribera del Duero,Spain,red_fruit,black_fruit,spices,tempranillo,0,4.0,1.0,4.0,red wine
Haut-Médoc ,2021.0,Château Lestage Simon,3.8,7002,80.77499999999999,Haut-Médoc,France,oak,black_fruit,earth,cabernet-sauvignon,cabernet-franc,4.0,1.0,4.5,red wine
Pinot Noir ,2020.0,Weingut Bründlmayer,4.0,907,57.6,Niederösterreich,Austria,red_fruit,oak,earth,pinot-noir,0,4.5,1.0,2.0,red wine
Steineiche Blaufränkisch ,2019.0,Paul Lehrner,3.9,614,98.145,Burgenland,Austria,black_fruit,red_fruit,oak,blaufrankisch,0,4.5,1.0,3.5,red wine
Chevalier Montrachet Grand Cru ,2020.0,Louis Jadot,4.5,168,3681.2699999999995,Chevalier-Montrachet Grand Cru,France,oak,non_oak,microbio,chardonnay,pinot-gris,3.0,1.0,4.0,white wine
Holzspur St.Laurent ,2021.0,Johanneshof Reinisch,4.2,548,207.67499999999998,Thermenregion,Austria,oak,non_oak,black_fruit,st-laurent,0,4.5,2.0,3.0,red wine
Côte de Brouilly ,2023.0,Trénel,3.6,206,58.635,Côte de Brouilly,France,red_fruit,earth,oak,gamay,0,5.0,1.0,1.0,red wine
Sauvignon Blanc Classic ,2023.0,Strauss,3.6,283,57.015,Südsteiermark,Austria,citrus_fruit,tree_fruit,earth,sauvignon-blanc,0,4.0,1.0,2.0,white wine
20 Ventiterre Pinot Grigio ,2023.0,Zonin,3.7,197,29.25,delle Venezie,Italy,tree_fruit,citrus_fruit,earth,pinot-grigio,0,2.5,1.5,3.0,white wine
Riesling ,2023.0,Rockabilly Weinkult,3.7,133,44.82000000000001,Niederösterreich,Austria,citrus_fruit,tree_fruit,earth,riesling,0,5.0,1.0,3.5,white wine
Souveräner Malteser Ritterorden Grüner Veltliner ,2023.0,Lenz Moser,3.7,194,42.75,Weinviertel,Austria,citrus_fruit,tree_fruit,spices,gruner-veltliner,0,4.0,1.0,2.0,white wine
Hochberc (Blaufränkisch) ,2018.0,Gesellmann,4.3,133,280.125,Mittelburgenland,Austria,oak,black_fruit,earth,blaufrankisch,0,4.5,1.0,3.5,red wine
Chevalier Montrachet Grand Cru ,2021.0,Louis Jadot,4.5,168,3681.2699999999995,Chevalier-Montrachet Grand Cru,France,oak,non_oak,microbio,chardonnay,pinot-gris,3.0,1.0,4.0,white wine
Vosne Romanée Les Chaumes Premier Cru ,2022.0,Ardhuy,4.3,207,623.6999999999999,Vosne-Romanée 1er Cru 'Les Chaumes',France,red_fruit,spices,oak,pinot-noir,0,4.5,1.0,3.0,red wine
Sauvignon Blanc ,2023.0,Gesellmann,3.7,126,60.300000000000004,Mittelburgenland,Austria,tree_fruit,citrus_fruit,vegetal,sauvignon-blanc,0,4.0,1.0,2.0,white wine
Saar Riesling ,2015.0,Van Volxem,3.9,1333,83.25,Mosel,Germany,tree_fruit,earth,citrus_fruit,riesling,0,5.0,1.0,3.0,white wine
Vin de Paille Hermitage Blanc ,1999.0,Cave de Tain,4.1,94,336.15000000000003,Hermitage,France,microbio,earth,non_oak,viognier,roussanne,2.0,1.5,3.5,white wine
Lagröll Lagrein Riserva ,2019.0,Kellerei St. Pauls,4.0,77,117.0,Südtirol - Alto Adige,Italy,black_fruit,red_fruit,spices,nebbiolo,barbera,2.0,1.5,4.0,red wine
Pinot Grigio ,2019.0,La Tunella,3.9,226,57.15,Colli Orientali del Friuli,Italy,citrus_fruit,tree_fruit,earth,pinot-grigio,0,2.5,1.5,3.0,white wine
Cabernet Sauvignon ,2013.0,Ernie Els,3.7,267,76.05,Stellenbosch,South Africa,oak,black_fruit,earth,cabernet-sauvignon,0,4.0,1.0,4.5,red wine
Grauer Burgunder vom Löss ,2020.0,Philipp Kuhn,3.9,56,58.050000000000004,Pfalz,Germany,tree_fruit,earth,tropical_fruit,pinot-gris,0,2.5,1.5,3.0,white wine
Pinot Gris ,2018.0,Pierre Henri Ginglinger,3.8,143,45.449999999999996,Alsace,France,tree_fruit,spices,floral,pinot-gris,0,2.5,1.5,3.0,white wine
Alix Barbera d'Asti Superiore ,2019.0,Alice Bel Colle,3.9,49,56.25,Barbera d'Asti,Italy,red_fruit,black_fruit,spices,barbera,0,4.0,1.0,3.5,red wine
Ilbesheimer Westerberg Riesling ,2015.0,Kranz,4.2,65,76.5,Pfalz,Germany,earth,non_oak,oak,riesling,0,5.0,1.0,3.0,white wine
Ried Berg Erste Lage Riesling ,2022.0,Markus Huber,4.0,512,177.705,Traisental,Austria,earth,tree_fruit,citrus_fruit,riesling,0,5.0,1.0,3.5,white wine
Ried Klostersatz Grüner Veltliner Federspiel ,2023.0,Schmidl,3.9,93,65.83500000000001,Wachau,Austria,tree_fruit,vegetal,earth,gruner-veltliner,0,4.0,1.0,2.0,white wine
Weissburgunder ,2022.0,Setzer,3.7,44,51.48,Weinviertel,Austria,tropical_fruit,floral,vegetal,pinot-blanc,0,4.0,1.0,3.0,white wine
Villa Garrel Côtes de Provence ,2023.0,Fabre en Provence,3.7,692,45.36,Côtes de Provence,France,red_fruit,citrus_fruit,tropical_fruit,shiraz-syrah,grenache-noir,4.0,1.0,2.5,rose
Grüner Veltliner ,2023.0,Christ,3.9,97,46.17,Wien,Austria,tree_fruit,citrus_fruit,0,gruner-veltliner,0,4.0,1.0,2.0,white wine
6 Vinyes de Laurona ,2013.0,Celler Laurona,4.0,275,121.14000000000001,Montsant,Spain,earth,oak,black_fruit,shiraz-syrah,cabernet-sauvignon,3.5,1.0,4.5,red wine
Blaufränkisch Reserve ,2021.0,Ceel,3.8,272,54.17999999999999,Neusiedlersee-Hügelland,Austria,oak,spices,earth,blaufrankisch,0,4.5,1.0,3.5,red wine
Wahre Werte Gaisberg Grüner Veltliner Reserve ,2022.0,Weixelbaum,4.1,128,112.67999999999999,Kamptal,Austria,oak,earth,microbio,gruner-veltliner,0,4.0,1.0,2.0,white wine
Les Murgers Nuits-Saint-Georges Premier Cru ,2017.0,Les Parcellaires de Saulx,4.3,27,524.79,Nuits-Saint-Georges 1er Cru 'Aux Murgers',France,oak,0,0,pinot-noir,0,4.5,1.0,3.0,red wine
Vacqueyras Blanc ,2023.0,Domaine Le Colombier,3.7,259,88.965,Vacqueyras,France,tree_fruit,earth,oak,viognier,roussanne,3.0,1.0,3.5,white wine
Kellerberg Grüner Veltliner Smaragd ,2022.0,Schmidl,3.9,123,124.47,Wachau,Austria,tropical_fruit,tree_fruit,microbio,gruner-veltliner,0,4.0,1.0,2.0,white wine
Blaufränkisch Grosshöflein ,2021.0,Esterházy,3.8,173,70.69500000000001,Neusiedlersee-Hügelland,Austria,red_fruit,earth,oak,blaufrankisch,0,4.5,1.0,3.5,red wine
Pinot Noir Reserve ,2022.0,Leo Aumann,3.6,493,50.85,Thermenregion,Austria,oak,earth,red_fruit,pinot-noir,0,4.5,1.0,2.0,red wine
Grüner Veltliner Smaragd Privat ,2022.0,Josef Fischer,4.2,209,146.34,Wachau,Austria,tropical_fruit,tree_fruit,earth,gruner-veltliner,0,4.0,1.0,2.0,white wine
Grüner Veltliner Morgentau ,2023.0,Oskar Hager,3.5,63,32.129999999999995,Kamptal,Austria,tree_fruit,citrus_fruit,spices,gruner-veltliner,0,4.0,1.0,2.0,white wine
Grüner Veltliner Zistl ,2023.0,Weingut Alphart,3.8,204,40.5,Thermenregion,Austria,tree_fruit,citrus_fruit,earth,gruner-veltliner,0,4.0,1.0,2.0,white wine
Chardonnay ,2023.0,Stubits,3.7,38,75.825,Burgenland,Austria,tree_fruit,citrus_fruit,earth,chardonnay,0,3.5,1.0,3.0,white wine
Ehrenhausen Sauvignon Blanc ,2022.0,Gross,3.9,285,91.26,Südsteiermark,Austria,tree_fruit,citrus_fruit,vegetal,sauvignon-blanc,0,4.0,1.0,2.0,white wine
Monvigliero Barolo ,2020.0,Viberti Giovanni,4.1,108,310.68,Barolo,Italy,red_fruit,earth,oak,nebbiolo,0,5.0,1.0,4.0,red wine
Ried Kellerberg Grüner Veltliner Smaragd ,2018.0,F.X. Pichler,4.3,49,471.96,Wachau,Austria,tree_fruit,earth,floral,gruner-veltliner,0,4.0,1.0,2.0,white wine
Bourgogne 'Pasquier des Chênes' ,2020.0,Marchand Grillot,3.9,113,216.0,Bourgogne,France,red_fruit,dried_fruit,earth,pinot-noir,0,4.0,1.0,2.5,red wine
Viognier ,2022.0,Neethlingshof Estate,3.5,34,42.75,Stellenbosch,South Africa,citrus_fruit,tree_fruit,dried_fruit,viognier,0,1.0,2.0,3.5,white wine
Chardonnay ,2022.0,Protea,3.5,27,39.15,Coastal Region,South Africa,citrus_fruit,tree_fruit,oak,chardonnay,0,3.5,1.5,4.0,white wine
Ernest Pinot Noir ,2022.0,Hasher Family Estate,4.2,108,147.375,Upper Hemel-en-Aarde Valley,South Africa,oak,red_fruit,spices,pinot-noir,0,3.5,1.0,3.0,red wine
Grand Classique Red Blend ,2000.0,Glen Carlou,3.9,3696,81.0,Paarl,South Africa,oak,earth,black_fruit,cabernet-sauvignon,cabernet-franc,4.0,1.0,4.0,red wine
Pessac-Léognan ,2020.0,Château Pontac Monplaisir,4.0,2799,116.145,Pessac-Léognan,France,oak,black_fruit,earth,cabernet-sauvignon,cabernet-franc,4.5,1.0,4.5,red wine
Quivira Verdejo ,2023.0,Altaencina,3.7,163,50.175000000000004,Rueda,Spain,tree_fruit,citrus_fruit,vegetal,verdejo,0,3.0,2.0,2.0,white wine
Pinot Noir ,2019.0,Zull,4.0,205,117.45,Weinviertel,Austria,red_fruit,earth,oak,pinot-noir,0,4.5,1.0,2.0,red wine
lo necesario ,2022.0,Viticultores Lo Necesario,3.8,325,54.449999999999996,Valencia,Spain,oak,black_fruit,earth,grenache-noir,tempranillo,3.0,1.0,4.0,red wine
Treintamil (30.000) Maravedies ,2018.0,Bodega Marañones,3.6,382,54.9,Madrid,Spain,red_fruit,spices,earth,shiraz-syrah,grenache-noir,4.0,1.0,5.0,red wine
Herrenwingert Spätburgunder ,2016.0,Friedrich Becker,4.2,69,193.5,Pfalz,Germany,red_fruit,earth,oak,pinot-noir,0,4.5,1.0,1.0,red wine
Mas de la Rosa ,2015.0,Vall Llach,4.6,101,1299.465,Priorat,Spain,oak,black_fruit,earth,shiraz-syrah,cabernet-sauvignon,3.5,1.0,5.0,red wine
La Côte La Clape Languedoc ,2019.0,Château la Négly,4.0,508,78.75,La Clape,France,black_fruit,spices,earth,shiraz-syrah,grenache-noir,4.0,1.0,4.0,red wine
Assyrtiko ,2021.0,Artemis Karamolegos,3.9,603,180.0,Santorini,Greece,citrus_fruit,earth,tree_fruit,assyrtiko,aidani,4.0,1.0,3.0,white wine
Kritt Pinot Blanc ,2019.0,Marc Kreydenweiss,3.9,505,108.0,Alsace,France,tree_fruit,earth,citrus_fruit,pinot-blanc,0,3.5,1.0,3.0,white wine
Classic Grüner Veltliner ,2023.0,Winzerhof Stift,3.7,147,56.61,Weinviertel,Austria,tree_fruit,earth,citrus_fruit,gruner-veltliner,0,4.0,1.0,2.0,white wine
Grüner Veltliner Kammerling ,2023.0,Preiss,3.8,190,45.449999999999996,Traisental,Austria,tropical_fruit,earth,tree_fruit,gruner-veltliner,0,4.0,1.0,2.0,white wine
Pinot Noir Gertberg ,2018.0,Feiler-Artinger,3.8,121,156.15,Burgenland,Austria,red_fruit,earth,oak,pinot-noir,0,4.5,1.0,2.0,red wine
Le Puy Bel-Abord Saint-Nicolas-de-Bourgueil ,2023.0,Sauvion,3.6,513,56.42999999999999,Saint-Nicolas-de-Bourgueil,France,red_fruit,spices,oak,cabernet-franc,0,4.0,1.5,3.5,red wine
Vinho Verde Arinto ,2023.0,Casal de Ventozela,3.8,1267,32.625,Vinho Verde,Portugal,tree_fruit,citrus_fruit,earth,arinto-de-bucelas,loureiro,4.5,1.0,1.5,white wine
Médoc Reserve ,2016.0,Michel Lynch,3.6,367,57.51,Médoc,France,oak,black_fruit,red_fruit,cabernet-sauvignon,cabernet-franc,4.5,1.0,4.5,red wine
Charming Grüner Veltliner Reserve ,2022.0,Laurenz V.,3.9,1822,78.12,Kamptal,Austria,tree_fruit,citrus_fruit,earth,gruner-veltliner,0,4.0,1.0,2.0,white wine
Kranachberg Sauvignon Blanc ,2020.0,Skoff Original,4.1,262,104.22,Südsteiermark,Austria,citrus_fruit,tree_fruit,tropical_fruit,sauvignon-blanc,0,4.0,1.0,2.0,white wine
Loiserberg Riesling ,2022.0,Jurtschitsch,3.9,310,104.94,Kamptal,Austria,earth,tree_fruit,citrus_fruit,riesling,0,5.0,1.0,3.5,white wine
Pinot Noir ,2023.0,Pittnauer,3.8,1047,65.565,Neusiedlersee,Austria,red_fruit,earth,oak,pinot-noir,0,4.5,1.0,2.0,red wine
Dolcetto d'Alba Messoirano ,2010.0,Castello di Neive,3.8,170,58.050000000000004,Dolcetto d'Alba,Italy,red_fruit,spices,non_oak,nebbiolo,barbera,2.0,1.5,4.0,red wine
Barolo ,1961.0,Contratto,4.0,275,337.05,Barolo,Italy,earth,oak,dried_fruit,nebbiolo,0,5.0,1.0,4.0,red wine
Langhe Nebbiolo ,2020.0,Mascarello Giuseppe e Figlio,4.2,87,224.54999999999998,Langhe,Italy,red_fruit,oak,earth,nebbiolo,0,5.0,1.0,4.0,red wine
Brolio Chianti Classico Riserva ,1955.0,Ricasoli,4.0,6343,269.55,Chianti Classico,Italy,oak,earth,red_fruit,sangiovese,0,4.5,1.0,3.5,red wine
Barbera d'Alba Scarrone Vigna Vecchia ,2012.0,Vietti,4.2,152,202.04999999999998,Barbera d'Alba,Italy,oak,red_fruit,black_fruit,barbera,0,4.0,1.0,3.5,red wine
Villa Antinori Chianti Classico Riserva ,1979.0,Antinori,4.0,47009,179.54999999999998,Chianti Classico,Italy,oak,red_fruit,earth,sangiovese,0,4.5,1.0,3.5,red wine
Barolo Riserva ,1952.0,Marchesi di Barolo,4.1,3969,805.5,Barolo,Italy,oak,earth,red_fruit,nebbiolo,0,5.0,1.0,4.0,red wine
Barbera d'Alba Pre-Phylloxera ,1979.0,Elvio Cogno,4.0,1010,359.55,Barbera d'Alba,Italy,oak,red_fruit,black_fruit,barbera,0,4.0,1.0,3.5,red wine
Vignarionda Barolo Riserva ,2006.0,Anselma Giacomo,4.3,113,539.5500000000001,Barolo,Italy,earth,oak,red_fruit,nebbiolo,0,5.0,1.0,4.0,red wine
Barolo Enrico VI ,1980.0,Cordero di Montezemolo,4.4,3399,359.55,Barolo,Italy,earth,oak,non_oak,nebbiolo,0,5.0,1.0,4.0,red wine
Barolo del Comune di Barolo ,1967.0,Barale Fratelli,4.2,533,404.55,Barolo,Italy,earth,red_fruit,oak,nebbiolo,0,5.0,1.0,4.0,red wine
Tradizionale Vernaccia di San Gimignano ,2010.0,Sono Montenidoli,3.6,65,62.550000000000004,Vernaccia di San Gimignano,Italy,earth,tree_fruit,citrus_fruit,trebbiano,verdicchio,4.0,2.0,3.0,white wine
Frales Langhe Nebbiolo ,2003.0,Silvano Bolmida,3.7,487,67.05,Langhe,Italy,red_fruit,earth,oak,nebbiolo,0,5.0,1.0,4.0,red wine
Langhe Arneis Montebertotto ,2006.0,Castello di Neive,3.8,924,58.050000000000004,Langhe,Italy,citrus_fruit,tree_fruit,earth,arneis,pinot-blanc,3.0,2.0,4.0,white wine
Brunello di Montalcino ,2014.0,Lisini,4.2,471,215.54999999999998,Brunello di Montalcino,Italy,oak,earth,red_fruit,sangiovese,0,4.0,1.0,3.0,red wine
Caramino ,1998.0,Dessilani Luigi e Figlio,3.7,109,85.05,Piemonte,Italy,earth,microbio,oak,nebbiolo,0,5.0,1.0,4.0,red wine
Riserva Ducale Chianti Classico ,1964.0,Ruffino,4.3,36,247.04999999999998,Chianti Classico,Italy,oak,red_fruit,earth,sangiovese,0,4.5,1.0,3.5,red wine
Sant'Antimo Rosso ,2006.0,San Polino,3.8,164,89.55,Sant'Antimo,Italy,black_fruit,red_fruit,spices,cabernet-sauvignon,merlot,3.0,1.0,3.0,red wine
Barolo del Comune di Barolo ,1959.0,Barale Fratelli,4.2,533,449.55,Barolo,Italy,earth,red_fruit,oak,nebbiolo,0,5.0,1.0,4.0,red wine
Barolo Monfalletto ,1968.0,Cordero di Montezemolo,4.3,8828,359.55,Barolo,Italy,earth,oak,red_fruit,nebbiolo,0,5.0,1.0,4.0,red wine
Helichrysum Brunello di Montalcino ,2007.0,San Polino,4.4,64,359.55,Brunello di Montalcino,Italy,earth,oak,red_fruit,sangiovese,0,4.0,1.0,3.0,red wine
Garblèt Sué Barolo ,2015.0,Brovia,4.4,75,310.05,Barolo,Italy,earth,oak,red_fruit,nebbiolo,0,5.0,1.0,4.0,red wine
Fabrizio Bianchi Nemo ,2006.0,Castello di Monsanto,4.2,123,179.54999999999998,Toscana,Italy,earth,oak,black_fruit,cabernet-sauvignon,merlot,3.0,1.0,3.0,red wine
Langhe Arneis Montebertotto ,2012.0,Castello di Neive,3.8,924,58.050000000000004,Langhe,Italy,citrus_fruit,tree_fruit,earth,arneis,pinot-blanc,3.0,2.0,4.0,white wine
Franco Fiorina Barbaresco ,1958.0,Stefano Farina,3.9,89,382.05,Barbaresco,Italy,spices,black_fruit,red_fruit,nebbiolo,0,5.0,1.0,4.0,red wine
Barolo Rocche di Castiglione ,2011.0,Sordo,4.0,246,179.54999999999998,Barolo,Italy,red_fruit,oak,earth,nebbiolo,0,5.0,1.0,4.0,red wine
Dolcetto d'Alba ,2013.0,Andrea Oberto,3.4,42,67.05,Dolcetto d'Alba,Italy,red_fruit,oak,earth,nebbiolo,barbera,2.0,1.5,4.0,red wine
Barolo del Comune di La Morra ,2015.0,Renato Corino,4.1,186,143.54999999999998,Barolo,Italy,earth,oak,red_fruit,nebbiolo,0,5.0,1.0,4.0,red wine
Barbaresco ,1952.0,Enrico Serafino,3.7,1464,449.55,Barbaresco,Italy,red_fruit,oak,earth,nebbiolo,0,5.0,1.0,4.0,red wine
Cascina Bordino Barbaresco ,1995.0,Tenuta Carretta,3.9,839,152.54999999999998,Barbaresco,Italy,earth,oak,red_fruit,nebbiolo,0,5.0,1.0,4.0,red wine
Ravera di Monforte Barolo ,2015.0,Benevelli Piero,4.1,144,206.54999999999998,Barolo,Italy,earth,oak,red_fruit,nebbiolo,0,5.0,1.0,4.0,red wine
Barolo ,2014.0,Elio Altare,4.3,189,247.04999999999998,Barolo,Italy,earth,oak,red_fruit,nebbiolo,0,5.0,1.0,4.0,red wine
Bramaterra ,2013.0,Noah,3.9,75,134.54999999999998,Bramaterra,Italy,red_fruit,earth,oak,nebbiolo,0,5.0,1.0,4.0,red wine
Barolo ,1952.0,Fontanafredda,3.9,34991,449.55,Barolo,Italy,oak,earth,red_fruit,nebbiolo,0,5.0,1.0,4.0,red wine
Barbaresco Sori' Paitin ,2013.0,PAITIN,3.9,325,224.54999999999998,Barbaresco,Italy,earth,red_fruit,oak,nebbiolo,0,5.0,1.0,4.0,red wine
